num,Season,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
95,2023,Óscar Mercado,STL,20,31,32,9,6,3,0,0,3,5,1,0,4,0,0,0,0,2,1,0.29
96,2023,Michael Stefanic,LAA,25,62,71,18,15,2,1,0,5,6,8,0,8,1,0,0,0,0,1,0.29
97,2022,Bo Bichette,TOR,159,652,697,189,121,43,1,24,91,93,41,0,155,2,2,0,21,13,8,0.29
98,2023,Tom Murphy,SEA,47,145,159,42,22,12,0,8,19,17,10,0,44,1,2,0,4,0,0,0.29
99,2023,Ryan O'Hearn,BAL,112,346,368,100,63,22,1,14,48,60,15,2,82,3,3,1,2,5,1,0.289
100,2023,William Contreras,MIL,141,540,611,156,100,38,1,17,86,78,63,2,126,5,2,1,23,6,1,0.289
101,2022,Danny Mendick,CHW,31,97,106,28,20,4,1,3,22,15,7,0,23,1,0,1,2,1,0,0.289
102,2023,Masataka Yoshida,BOS,140,537,580,155,104,33,3,15,71,72,34,0,81,7,2,0,20,8,0,0.289
103,2023,Riley Greene,DET,99,378,416,109,75,19,4,11,51,37,35,0,114,1,2,0,7,7,0,0.288
104,2022,Michael Brantley,HOU,64,243,277,70,50,14,1,5,28,26,31,2,30,1,1,1,1,1,1,0.288
105,2023,Pablo Reyes,BOS,64,167,185,48,37,9,0,2,27,20,14,0,21,0,2,2,3,7,2,0.287
106,2022,Bryce Harper,PHI,99,370,426,106,59,28,1,18,63,65,46,9,87,3,7,0,13,11,4,0.286
107,2022,Wynton Bernard,COL,12,42,42,12,11,1,0,0,9,3,0,0,8,0,0,0,1,3,1,0.286
108,2022,Christian Arroyo,BOS,87,280,300,80,57,16,1,6,32,36,13,2,49,3,2,2,7,5,1,0.286
109,2022,Edward Olivares,KCR,53,161,174,46,34,8,0,4,24,15,10,0,36,2,1,0,1,2,3,0.286
110,2022,Logan O'Hoppe,LAA,5,14,16,4,4,0,0,0,1,2,2,0,3,0,0,0,0,0,0,0.286
111,2023,Drew Millas,WSN,11,28,33,8,5,2,0,1,1,6,4,0,5,0,0,1,2,0,0,0.286
112,2023,Andre Lipcius,DET,13,35,38,10,8,1,0,1,3,4,3,0,8,0,0,0,1,0,0,0.286
113,2023,Seiya Suzuki,CHC,138,515,583,147,90,31,6,20,75,74,59,3,130,2,7,0,8,6,7,0.285
114,2022,Gio Urshela,MIN,144,501,551,143,100,27,3,13,61,64,41,2,96,2,7,0,21,1,0,0.285
115,2023,Xander Bogaerts,SDP,155,596,665,170,118,31,2,19,83,58,56,0,110,7,6,0,21,19,2,0.285
116,2022,Alejandro Kirk,TOR,139,470,541,134,101,19,0,14,59,63,63,2,58,4,4,0,11,0,0,0.285
117,2023,Corbin Carroll,ARI,155,565,645,161,96,30,10,25,116,76,57,1,125,13,4,6,7,54,5,0.285
118,2023,Gabriel Moreno,ARI,111,341,380,97,70,19,1,7,33,50,29,0,75,3,7,0,17,6,2,0.284
119,2023,Brendan Donovan,STL,95,327,371,93,71,10,1,11,48,34,33,2,53,9,1,1,4,5,1,0.284
120,2022,Luis Robert Jr.,CHW,98,380,401,108,78,18,0,12,54,56,17,1,77,3,1,0,6,11,3,0.284
121,2022,Donovan Solano,CIN,80,278,304,79,59,16,0,4,22,24,19,1,61,5,2,0,5,0,0,0.284
122,2023,Kyle Tucker,HOU,157,574,674,163,92,37,5,29,97,112,80,9,92,3,10,0,11,30,5,0.284
123,2023,Wilmer Flores,SFG,126,405,454,115,70,22,0,23,51,60,41,1,63,5,3,0,13,0,0,0.284
124,2022,Julio Rodríguez,SEA,132,511,560,145,89,25,3,28,84,75,40,4,145,8,1,0,7,25,7,0.284
125,2022,Jake McCarthy,ARI,99,321,354,91,64,16,3,8,53,43,23,0,76,6,1,3,3,23,3,0.283
126,2022,Mike Trout,LAA,119,438,499,124,54,28,2,40,85,80,54,8,139,6,1,0,6,1,0,0.283
127,2023,Matt Olson,ATL,162,608,720,172,88,27,3,54,127,139,104,8,167,4,4,0,13,1,0,0.283
128,2023,Nico Hoerner,CHC,150,619,688,175,135,27,4,9,98,68,49,0,83,14,5,1,12,43,7,0.283
129,2022,Amed Rosario,CLE,153,637,670,180,134,26,9,11,86,71,25,0,111,4,4,0,19,18,4,0.283
130,2023,Donovan Solano,MIN,134,394,450,111,79,26,1,5,43,38,40,1,100,15,1,0,8,0,0,0.282
131,2023,Yainer Diaz,HOU,104,355,377,100,55,22,0,23,51,60,11,0,74,5,6,0,12,0,0,0.282
132,2023,José Ramírez,CLE,156,611,691,172,107,36,5,24,87,80,73,22,73,1,6,0,8,28,6,0.282
133,2023,Austin Riley,ATL,159,636,715,179,107,32,3,37,117,97,59,4,172,9,11,0,18,3,1,0.281
134,2022,Brendan Donovan,STL,126,391,468,110,83,21,1,5,64,45,60,1,70,14,2,1,8,2,3,0.281
135,2023,Freddy Fermin,KCR,70,217,235,61,41,10,1,9,26,32,13,0,50,1,3,1,11,0,0,0.281
136,2022,Taylor Ward,LAA,135,495,564,139,92,22,2,23,73,65,60,0,120,4,5,0,5,5,3,0.281
137,2022,Nico Hoerner,CHC,135,481,517,135,98,22,5,10,60,55,28,4,57,6,2,0,11,20,2,0.281
138,2023,Wander Franco,TBR,112,442,491,124,78,23,6,17,65,58,42,3,69,3,4,0,18,30,10,0.281
139,2023,Bryson Stott,PHI,151,585,640,164,115,32,2,15,78,62,39,1,100,7,8,1,10,31,3,0.28
140,2023,Ozzie Albies,ATL,148,596,660,167,99,30,5,33,96,109,46,2,107,8,8,0,9,13,1,0.28
141,2023,Vaughn Grissom,ATL,23,75,80,21,17,3,1,0,5,9,2,0,15,2,1,0,2,0,1,0.28
142,2022,Alex Verdugo,BOS,152,593,644,166,115,39,1,11,75,74,42,2,86,3,6,0,14,1,3,0.28
143,2022,Alec Bohm,PHI,152,586,631,164,124,24,3,13,79,72,31,1,110,4,10,0,18,2,3,0.28
144,2023,Mickey Moniak,LAA,85,311,323,87,50,21,2,14,35,45,9,1,113,3,0,0,4,6,3,0.28
145,2022,José Ramírez,CLE,157,601,685,168,90,44,5,29,90,126,69,20,82,6,9,0,5,20,7,0.28
146,2023,TJ Friedl,CIN,138,488,556,136,88,22,8,18,73,66,47,1,90,10,3,8,0,27,6,0.279
147,2023,Charlie Blackmon,COL,96,359,413,100,63,24,5,8,57,40,39,0,55,11,4,0,6,4,1,0.279
148,2022,William Contreras,ATL,97,334,376,93,58,14,1,20,51,45,39,1,104,1,2,0,5,2,0,0.278
149,2023,Mauricio Dubón,HOU,132,467,492,130,91,26,3,10,76,46,19,0,70,3,3,0,10,7,2,0.278
150,2023,Christian Yelich,MIL,144,550,632,153,99,34,1,19,106,76,78,7,140,3,1,0,15,28,3,0.278
151,2022,Justin Turner,LAD,128,468,532,130,81,36,0,13,61,81,50,1,89,6,8,0,13,3,0,0.278
152,2023,Michael Brantley,HOU,15,54,57,15,11,2,0,2,7,7,2,0,2,0,1,0,2,0,0,0.278
153,2023,Kerry Carpenter,DET,118,418,459,116,77,17,2,20,57,64,32,3,115,8,1,0,5,6,0,0.278
154,2023,Brandon Marsh,PHI,133,404,472,112,69,25,6,12,58,60,59,2,144,4,4,1,4,10,2,0.277
155,2023,Adley Rutschman,BAL,154,588,687,163,111,31,1,20,84,80,92,6,101,2,5,0,14,1,2,0.277
156,2022,Wander Franco,TBR,83,314,344,87,58,20,3,6,46,33,26,1,33,0,4,0,5,8,0,0.277
157,2022,Jean Segura,PHI,98,354,387,98,79,9,0,10,45,33,25,1,58,7,1,0,16,13,6,0.277
158,2022,Dansby Swanson,ATL,162,640,696,177,119,32,1,25,99,96,49,0,182,3,4,0,12,18,7,0.277
159,2022,Stone Garrett,ARI,27,76,84,21,9,8,0,4,13,10,3,0,27,1,1,0,1,3,1,0.276
160,2023,Ryan Jeffers,MIN,96,286,335,79,48,15,2,14,46,43,33,1,93,10,2,4,6,3,2,0.276
161,2023,Jordan Walker,STL,117,420,465,116,79,19,2,16,51,51,37,0,104,6,2,0,9,7,4,0.276
162,2023,Bobby Witt Jr.,KCR,158,641,694,177,108,28,11,30,97,96,40,1,121,4,8,1,11,49,15,0.276
163,2023,Marcus Semien,TEX,162,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,5,14,3,0.276
164,2023,Garrett Hampson,MIA,98,221,252,61,45,12,1,3,30,23,23,0,67,3,2,3,3,5,0,0.276
165,2023,Justin Turner,BOS,146,558,626,154,100,31,0,23,86,96,51,0,110,11,6,0,10,4,1,0.276
166,2023,Ketel Marte,ARI,150,569,650,157,97,26,9,25,94,82,71,2,109,5,5,0,16,8,2,0.276
167,2023,Davis Schneider,TOR,35,116,141,32,11,12,1,8,23,20,21,0,43,4,0,0,2,1,0,0.276
168,2023,Ezequiel Duran,TEX,122,406,439,112,74,22,2,14,55,46,23,1,120,7,2,1,7,8,4,0.276
169,2022,J.T. Realmuto,PHI,139,504,562,139,86,26,5,22,75,84,41,1,119,12,5,0,7,21,1,0.276
170,2022,Gavin Lux,LAD,129,421,471,116,83,20,7,6,66,42,47,0,95,0,3,0,3,7,2,0.276
171,2023,Will Benson,CIN,108,287,329,79,45,15,8,11,51,31,40,0,103,1,1,0,3,19,3,0.275
172,2023,Julio Rodríguez,SEA,155,654,714,180,109,37,2,32,102,103,47,6,175,11,2,0,14,37,10,0.275
173,2023,Nolan Schanuel,LAA,29,109,132,30,26,3,0,1,19,6,20,1,19,3,0,0,1,0,0,0.275
174,2022,Esteban Quiroz,CHC,14,40,47,11,11,0,0,0,3,3,4,0,9,2,0,1,0,1,1,0.275
175,2022,Luis García Jr.,WSN,93,360,377,99,67,23,2,7,29,45,11,1,84,1,4,1,5,3,4,0.275
176,2023,Austin Hays,BAL,144,520,566,143,89,36,2,16,76,67,38,1,141,3,5,0,11,5,1,0.275
177,2023,Joey Meneses,WSN,154,611,657,168,118,36,1,13,71,89,38,0,130,5,3,0,15,0,0,0.275
178,2023,Juan Soto,SDP,162,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,18,12,5,0.275
179,2022,Kevin Newman,PIT,78,288,309,79,57,18,2,2,31,24,16,0,48,2,1,2,6,8,2,0.274
180,2022,Vladimir Guerrero Jr.,TOR,160,638,706,175,108,35,0,32,90,97,58,6,116,6,4,0,26,8,3,0.274
181,2023,Alec Bohm,PHI,145,558,611,153,102,31,0,20,74,97,42,1,94,5,6,0,23,4,1,0.274
182,2022,Brandon Nimmo,NYM,151,580,673,159,106,30,7,16,102,64,71,0,116,16,3,3,9,3,2,0.274
183,2022,Ty France,SEA,140,551,613,151,103,27,1,20,65,83,35,3,94,21,5,0,18,0,0,0.274
184,2022,J.D. Martinez,BOS,139,533,596,146,86,43,1,16,76,62,52,1,145,5,5,0,20,0,0,0.274
185,2022,Christian Vázquez,2 Tms,119,398,426,109,77,23,0,9,41,52,22,0,69,3,3,0,10,1,4,0.274
186,2022,Manuel Margot,TBR,89,336,363,92,68,18,2,4,36,47,24,1,68,2,1,0,7,7,3,0.274
187,2022,Joc Pederson,SFG,134,380,433,104,59,19,3,23,57,70,42,3,100,7,4,0,5,3,2,0.274
188,2023,Brandon Nimmo,NYM,152,592,682,162,102,30,6,24,89,68,74,0,146,11,4,1,6,3,3,0.274
189,2023,Marcell Ozuna,ATL,144,530,592,145,75,29,1,40,84,100,57,1,134,3,2,0,9,0,0,0.274
190,2023,Gleyber Torres,NYY,158,596,672,163,108,28,2,25,90,68,67,0,98,3,6,0,19,13,6,0.273
191,2022,Austin Riley,ATL,159,615,693,168,89,39,2,38,90,93,57,1,168,17,4,0,13,2,0,0.273
192,2022,Shohei Ohtani,LAA,157,586,666,160,90,30,6,34,90,95,72,14,161,5,3,0,6,11,9,0.273
193,2023,Chas McCormick,HOU,115,403,457,110,69,17,2,22,59,70,40,0,117,11,2,1,3,19,6,0.273
194,2022,Luis Guillorme,NYM,102,297,335,81,66,12,1,2,33,17,34,1,46,2,0,2,15,1,0,0.273
195,2023,Riley Adams,WSN,44,143,158,39,20,13,2,4,8,21,11,0,45,2,1,1,5,0,0,0.273
196,2023,Whit Merrifield,TOR,145,547,592,149,111,27,0,11,66,67,36,2,101,3,6,0,15,26,10,0.272
197,2023,Eloy Jiménez,CHW,120,456,489,124,83,23,0,18,50,64,30,2,93,1,2,0,13,0,0,0.272
198,2022,Nick Gordon,MIN,138,405,443,110,69,28,4,9,45,50,19,1,105,10,6,3,8,6,4,0.272
199,2023,Nick Castellanos,PHI,157,626,671,170,102,37,2,29,79,106,36,0,185,3,6,0,17,11,2,0.272
200,2023,Maikel Garcia,KCR,123,464,515,126,98,20,4,4,59,50,38,0,115,2,10,1,9,23,7,0.272
201,2023,Spencer Steer,CIN,156,582,665,158,95,37,3,23,74,86,68,0,139,11,4,0,9,15,3,0.271
202,2022,Harold Castro,DET,120,420,443,114,84,21,2,7,37,47,17,1,79,1,2,3,5,0,1,0.271
203,2022,Pete Alonso,NYM,160,597,685,162,95,27,0,40,95,131,67,16,128,12,9,0,17,5,1,0.271
204,2023,Ke'Bryan Hayes,PIT,124,494,525,134,81,31,7,15,65,61,28,1,104,0,3,0,11,10,6,0.271
205,2022,Alan Trejo,COL,35,118,125,32,22,6,0,4,15,17,5,0,31,2,0,0,3,1,2,0.271
206,2023,J.D. Martinez,LAD,113,432,479,117,55,27,2,33,61,103,34,1,149,2,9,0,11,1,0,0.271
207,2023,Thairo Estrada,SFG,120,495,530,134,92,26,2,14,63,49,22,1,120,11,2,0,10,23,7,0.271
208,2023,Rafael Devers,BOS,153,580,656,157,90,34,0,33,90,100,62,10,126,11,3,0,15,5,1,0.271
209,2022,Andrew Vaughn,CHW,134,510,555,138,92,28,1,17,60,76,31,0,96,9,5,0,13,0,0,0.271
210,2022,Ian Happ,CHC,158,573,641,155,94,42,2,17,72,72,58,4,149,6,4,0,11,9,4,0.271
211,2023,Alex Kirilloff,MIN,88,281,319,76,50,14,1,11,35,41,28,1,80,7,3,0,2,1,0,0.27
212,2022,Albert Pujols,STL,109,307,351,83,45,14,0,24,42,68,28,1,55,10,6,0,13,1,2,0.27
213,2023,Mitch Garver,TEX,87,296,344,80,50,11,0,19,45,50,44,1,82,3,0,0,6,0,0,0.27
214,2023,Yonathan Daza,COL,24,74,80,20,14,6,0,0,8,7,3,0,13,1,1,1,5,1,0,0.27
215,2023,Austin Slater,SFG,89,185,207,50,36,9,0,5,24,20,20,0,58,2,0,0,2,2,2,0.27
216,2023,Christian Encarnacion-St...,CIN,63,222,241,60,40,7,0,13,29,37,14,0,69,5,0,0,5,2,0,0.27
217,2023,Jeff McNeil,NYM,156,585,648,158,119,25,4,10,75,55,39,0,65,18,3,3,5,10,0,0.27
218,2022,Francisco Lindor,NYM,161,630,706,170,114,25,5,26,98,107,59,2,133,10,7,0,11,16,6,0.27
219,2022,Seby Zavala,CHW,61,178,205,48,32,14,0,2,22,21,19,0,64,3,2,3,1,0,0,0.27
220,2023,Ryan Mountcastle,BAL,115,423,470,114,74,21,1,18,64,68,37,1,107,3,7,0,13,3,1,0.27
221,2023,Jason Heyward,LAD,124,334,377,90,52,23,0,15,56,40,34,1,64,3,3,0,7,2,2,0.269
222,2022,Mookie Betts,LAD,142,572,639,154,76,40,3,35,117,82,55,0,104,8,4,0,8,12,2,0.269
223,2023,Stone Garrett,WSN,89,234,271,63,37,17,0,9,40,40,26,0,82,3,5,0,6,3,1,0.269
224,2022,Reese McGuire,2 Tms,89,249,274,67,49,14,1,3,25,22,12,0,56,3,3,6,6,1,0,0.269
225,2022,Yadiel Hernandez,WSN,94,305,327,82,57,16,0,9,30,41,19,0,74,1,2,0,9,2,1,0.269
226,2023,Dane Myers,MIA,22,67,70,18,14,3,0,1,9,9,2,0,19,0,1,0,1,1,1,0.269
227,2022,Josh Rojas,ARI,125,443,510,119,84,25,1,9,66,56,55,2,98,2,5,5,7,23,3,0.269
228,2022,Eric Hosmer,2 Tms,104,380,419,102,75,19,0,8,38,44,37,5,64,1,1,0,12,0,0,0.268
229,2023,Paul Goldschmidt,STL,154,593,687,159,103,31,0,25,89,80,87,6,161,3,3,0,12,11,2,0.268
230,2023,Steven Kwan,CLE,158,638,718,171,123,36,7,5,93,54,70,2,75,3,6,1,9,21,3,0.268
231,2022,Jose Miranda,MIN,125,444,483,119,79,25,0,15,45,66,28,0,91,10,1,0,19,1,1,0.268
232,2022,Travis d'Arnaud,ATL,107,396,426,106,62,25,1,18,61,60,19,0,90,11,0,0,12,0,0,0.268
