#,Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
19,2023,Marcus Semien,TEX,162,753,29,122,100,14,9.60%,14.60%,0.201,0.291,0.276,0.348,0.478,0.354,,124,2.5,24.3,13.4,6.3
20,2022,Andrés Giménez,CLE,146,557,17,66,69,20,6.10%,20.10%,0.169,0.353,0.297,0.371,0.466,0.364,,142,3.4,29.8,12,6.2
21,2023,Corey Seager,TEX,119,536,33,88,96,2,9.10%,16.40%,0.296,0.34,0.327,0.39,0.623,0.419,,169,-5.4,38.8,4.1,6.1
22,2022,Mike Trout,LAA,119,499,40,85,80,1,10.80%,27.90%,0.347,0.323,0.283,0.369,0.63,0.418,,176,-0.3,42.3,-0.6,6
23,2022,Xander Bogaerts,BOS,150,631,15,84,73,8,9.00%,18.70%,0.149,0.362,0.307,0.377,0.456,0.363,,133,4.7,28.3,9.1,6
24,2023,Francisco Lindor,NYM,160,687,31,108,98,31,9.60%,19.90%,0.216,0.277,0.254,0.336,0.47,0.346,,121,7.7,25.9,11.1,6
25,2023,Corbin Carroll,ARI,155,645,25,116,76,54,8.80%,19.40%,0.221,0.325,0.285,0.362,0.506,0.37,,133,15.8,42.3,-4.2,6
26,2023,Julio Rodríguez,SEA,155,714,32,102,103,37,6.60%,24.50%,0.209,0.33,0.275,0.333,0.485,0.347,,126,7,29.4,5.1,5.9
27,2023,Bobby Witt Jr.,KCR,158,694,30,97,96,49,5.80%,17.40%,0.218,0.295,0.276,0.319,0.495,0.343,,115,7,19.3,14.7,5.7
28,2022,Jeff McNeil,NYM,148,589,9,73,62,4,6.80%,10.40%,0.128,0.353,0.326,0.382,0.454,0.365,,141,2,30.1,4.4,5.7
29,2022,Austin Riley,ATL,159,693,38,90,93,2,8.20%,24.20%,0.255,0.315,0.273,0.349,0.528,0.377,,143,-1.7,32.9,-3.1,5.6
30,2022,Tommy Edman,STL,153,630,13,95,57,32,7.30%,17.60%,0.135,0.308,0.265,0.324,0.4,0.318,,106,8.4,13,18.5,5.6
31,2023,Juan Soto,SDP,162,708,35,97,109,12,18.60%,18.20%,0.245,0.296,0.275,0.41,0.519,0.395,,155,-4.3,44,-12.6,5.5
32,2022,Alex Bregman,HOU,155,656,23,93,93,1,13.30%,11.70%,0.195,0.26,0.259,0.366,0.454,0.358,,136,-3,23.8,7.6,5.5
33,2022,Adley Rutschman,BAL,113,470,13,70,42,4,13.80%,18.30%,0.191,0.291,0.254,0.362,0.445,0.354,,135,5,23.5,13.1,5.4
34,2022,Julio Rodríguez,SEA,132,560,28,84,75,25,7.10%,25.90%,0.225,0.345,0.284,0.345,0.509,0.366,,146,4.3,33.1,0.4,5.4
35,2023,William Contreras,MIL,141,611,17,86,78,6,10.30%,20.60%,0.169,0.348,0.289,0.367,0.457,0.357,,124,-3.4,15.1,17.9,5.4
36,2023,Aaron Judge,NYY,106,458,37,79,75,3,19.20%,28.40%,0.346,0.3,0.267,0.406,0.613,0.42,,174,1,41.9,-4,5.3
37,2023,Austin Riley,ATL,159,715,37,117,97,3,8.30%,24.10%,0.234,0.324,0.281,0.345,0.516,0.363,,127,2.1,25.9,2.2,5.2
38,2022,Brandon Nimmo,NYM,151,673,16,102,64,3,10.50%,17.20%,0.159,0.317,0.274,0.367,0.433,0.353,,133,-0.3,25.2,1.5,5.2
39,2023,José Ramírez,CLE,156,691,24,87,80,28,10.60%,10.60%,0.193,0.285,0.282,0.356,0.475,0.346,,123,7,26,1.7,5.1
40,2023,Adley Rutschman,BAL,154,687,20,84,80,1,13.40%,14.70%,0.158,0.303,0.277,0.374,0.435,0.352,,127,-3,19.3,8.1,5.1
41,2022,Sean Murphy,OAK,148,612,18,67,66,1,9.20%,20.30%,0.177,0.29,0.25,0.332,0.426,0.331,,122,-1.4,13.4,15,5
42,2023,Luis Robert Jr.,CHW,145,595,38,90,80,20,5.00%,28.90%,0.278,0.314,0.264,0.315,0.542,0.358,,128,2,22.2,7.6,5
43,2023,Dansby Swanson,CHC,147,638,22,81,80,9,10.30%,24.10%,0.172,0.297,0.244,0.328,0.416,0.325,,104,4.6,7.5,20.3,4.9
44,2023,Kyle Tucker,HOU,157,674,29,97,112,30,11.90%,13.60%,0.233,0.289,0.284,0.369,0.517,0.372,,140,6.8,38.9,-12.3,4.9
45,2023,J.P. Crawford,SEA,145,638,19,94,65,2,14.70%,19.60%,0.172,0.314,0.266,0.38,0.438,0.359,,134,1.6,27.7,-0.1,4.9
46,2022,Michael Harris II,ATL,114,441,19,75,64,20,4.80%,24.30%,0.217,0.361,0.297,0.339,0.514,0.368,,137,5.9,24.7,6.6,4.9
47,2022,Kyle Tucker,HOU,150,609,30,71,107,25,9.70%,15.60%,0.221,0.261,0.257,0.33,0.478,0.348,,129,4,24.1,2.6,4.8
48,2023,Adolis García,TEX,148,632,39,108,107,9,10.30%,27.70%,0.263,0.28,0.245,0.328,0.508,0.354,,124,3.5,21.8,5.1,4.8
49,2022,Rafael Devers,BOS,141,614,27,84,88,3,8.10%,18.60%,0.225,0.329,0.295,0.358,0.521,0.373,,140,-1.2,26.4,-0.1,4.8
50,2022,Daulton Varsho,ARI,151,592,27,79,74,16,7.80%,24.50%,0.207,0.269,0.235,0.302,0.443,0.323,,107,3.4,8.4,17,4.8
51,2023,Yandy Díaz,TBR,137,600,22,95,78,0,10.80%,15.70%,0.192,0.367,0.33,0.41,0.522,0.402,,164,-7,39.1,-12.1,4.7
52,2023,Cal Raleigh,SEA,145,569,30,78,75,0,9.50%,27.80%,0.224,0.273,0.232,0.306,0.456,0.326,,111,-0.8,7,20.7,4.7
53,2023,Nico Hoerner,CHC,150,688,9,98,68,43,7.10%,12.10%,0.1,0.312,0.283,0.346,0.383,0.322,,102,9.7,11.5,11.9,4.7
54,2022,Willy Adames,MIL,139,617,31,83,98,8,7.90%,26.90%,0.22,0.278,0.238,0.298,0.458,0.325,,109,2.4,8.6,14.8,4.6
55,2023,Gunnar Henderson,BAL,150,622,28,100,82,10,9.00%,25.60%,0.234,0.306,0.255,0.325,0.489,0.346,,123,5.2,22.3,3.1,4.6
56,2023,Wander Franco,TBR,112,491,17,65,58,30,8.60%,14.10%,0.195,0.297,0.281,0.344,0.475,0.349,,127,0.1,16.2,12.8,4.6
57,2022,Steven Kwan,CLE,147,638,6,89,52,19,9.70%,9.40%,0.101,0.323,0.298,0.373,0.4,0.341,,126,4.9,23.6,-0.8,4.5
58,2022,Bo Bichette,TOR,159,697,24,91,93,13,5.90%,22.20%,0.179,0.347,0.29,0.333,0.469,0.347,,130,-2.7,20.6,0.2,4.5
59,2023,Yordan Alvarez,HOU,114,496,31,77,97,0,13.90%,18.50%,0.29,0.306,0.293,0.407,0.583,0.415,,170,-2.6,38.9,-10.7,4.5
60,2023,Xander Bogaerts,SDP,155,665,19,83,58,19,8.40%,16.50%,0.154,0.319,0.285,0.35,0.44,0.343,,120,-0.9,15.7,6,4.4
61,2023,TJ Friedl,CIN,138,556,18,73,66,27,8.50%,16.20%,0.189,0.308,0.279,0.352,0.467,0.353,,116,9.1,20.4,4.8,4.4
62,2023,Will Smith,LAD,126,554,19,80,76,3,11.40%,16.10%,0.177,0.277,0.261,0.359,0.438,0.345,,119,1.9,14.8,10.4,4.4
63,2023,James Outman,LAD,151,567,23,86,70,16,12.00%,31.90%,0.188,0.343,0.248,0.353,0.437,0.344,,118,5.7,18.6,6,4.4
64,2023,Fernando Tatis Jr.,SDP,141,635,25,91,78,29,8.30%,22.20%,0.191,0.299,0.257,0.322,0.449,0.332,,113,3.1,13.1,9.2,4.4
65,2023,Ha-Seong Kim,SDP,152,626,17,84,60,38,12.00%,19.80%,0.138,0.306,0.26,0.351,0.398,0.33,,112,5.1,14.1,8.4,4.4
66,2022,Carlos Correa,MIN,136,590,22,70,64,0,10.30%,20.50%,0.176,0.339,0.291,0.366,0.467,0.362,,140,-6,20.6,2.1,4.4
67,2023,Brandon Nimmo,NYM,152,682,24,89,68,3,10.90%,21.40%,0.193,0.324,0.274,0.363,0.466,0.359,,130,-2.6,22.9,-2.5,4.3
68,2023,Alex Bregman,HOU,161,724,25,103,98,3,12.70%,12.00%,0.178,0.27,0.262,0.363,0.441,0.351,,125,-5.1,16.8,2.1,4.3
69,2022,Corey Seager,TEX,151,663,33,91,83,3,8.70%,15.50%,0.211,0.242,0.245,0.317,0.455,0.331,,114,2.6,13.4,6.9,4.3
70,2023,Isaac Paredes,TBR,143,571,31,71,98,1,10.20%,18.20%,0.238,0.257,0.25,0.352,0.488,0.362,,137,-1,24.1,-0.2,4.3
71,2022,George Springer,TOR,133,583,25,89,76,14,9.30%,17.20%,0.205,0.285,0.267,0.342,0.472,0.352,,133,4.6,26.2,-4.1,4.3
72,2023,Sean Murphy,ATL,108,438,21,65,68,0,11.20%,22.40%,0.227,0.286,0.251,0.365,0.478,0.366,,129,-4.9,10.9,16.4,4.2
73,2023,Ketel Marte,ARI,150,650,25,94,82,8,10.90%,16.80%,0.209,0.3,0.276,0.358,0.485,0.361,,127,-3.2,18.4,1.7,4.2
74,2022,Matt Chapman,TOR,155,621,27,83,76,2,11.00%,27.40%,0.204,0.277,0.229,0.324,0.433,0.331,,118,3.1,15.6,4.6,4.2
75,2022,Jake Cronenworth,SDP,158,684,17,88,88,3,10.20%,19.20%,0.152,0.275,0.239,0.332,0.39,0.318,,110,6.8,14.5,2.2,4.2
76,2022,Christian Walker,ARI,160,667,36,84,94,2,10.30%,19.60%,0.235,0.248,0.242,0.327,0.477,0.346,,123,-0.3,17.7,-0.5,4.2
77,2022,Cal Raleigh,SEA,119,415,27,46,63,1,9.20%,29.40%,0.278,0.226,0.211,0.284,0.489,0.33,,120,-1,8.4,18,4.2
78,2023,Jonah Heim,TEX,131,501,18,61,95,2,8.00%,19.20%,0.179,0.289,0.258,0.317,0.438,0.324,,103,0.5,2.4,22,4.1
79,2023,Christian Yelich,MIL,144,632,19,106,76,28,12.30%,22.20%,0.169,0.342,0.278,0.37,0.447,0.353,,122,7.5,24.6,-4.7,4.1
80,2023,Cody Bellinger,CHC,130,556,26,95,97,20,7.20%,15.60%,0.218,0.319,0.307,0.356,0.525,0.37,,134,2.7,26.3,-4.1,4.1
81,2022,Eugenio Suárez,SEA,150,629,31,76,87,0,11.60%,31.20%,0.223,0.302,0.236,0.332,0.459,0.344,,130,-2.5,18.9,-0.3,4.1
82,2023,Ozzie Albies,ATL,148,660,33,96,109,13,7.00%,16.20%,0.233,0.289,0.28,0.336,0.513,0.358,,124,4.4,24,-6,4
83,2023,Jose Altuve,HOU,90,410,17,76,51,14,10.70%,17.30%,0.211,0.348,0.311,0.393,0.522,0.393,,154,-0.7,26,0.4,4
84,2022,Byron Buxton,MIN,92,382,28,61,51,6,8.90%,30.40%,0.303,0.244,0.224,0.306,0.526,0.356,,136,4.3,19.6,6.3,4
85,2022,Marcus Semien,TEX,161,724,26,101,83,25,7.30%,16.60%,0.181,0.263,0.248,0.304,0.429,0.317,,104,7,10.6,4.3,4
86,2022,Nico Hoerner,CHC,135,517,10,60,55,20,5.40%,11.00%,0.129,0.3,0.281,0.327,0.41,0.32,,106,2.3,6.1,14.3,4
87,2023,Michael Harris II,ATL,138,539,18,76,57,20,4.60%,18.70%,0.184,0.334,0.293,0.331,0.477,0.345,,115,3.9,13.8,7.7,4
88,2022,Travis d'Arnaud,ATL,107,426,18,61,60,0,4.50%,21.10%,0.205,0.306,0.268,0.319,0.472,0.343,,120,-3.6,6.4,16.8,4
89,2022,Will Smith,LAD,137,578,24,68,87,1,9.70%,16.60%,0.205,0.276,0.26,0.343,0.465,0.349,,128,-3.6,15,3,3.9
90,2023,Bryson Stott,PHI,151,640,15,78,62,31,6.10%,15.60%,0.138,0.312,0.28,0.329,0.419,0.323,,101,5.3,6.2,11.2,3.9
91,2023,Thairo Estrada,SFG,120,530,14,63,49,23,4.20%,22.60%,0.145,0.331,0.271,0.315,0.416,0.316,,101,4.8,5.4,15.6,3.9
92,2022,Alejandro Kirk,TOR,139,541,14,59,63,0,11.60%,10.70%,0.13,0.299,0.285,0.372,0.415,0.347,,129,-7.1,10.9,8.8,3.9
93,2022,Taylor Ward,LAA,135,564,23,73,65,5,10.60%,21.30%,0.192,0.325,0.281,0.36,0.473,0.362,,137,0.7,23.9,-5.1,3.9
94,2022,Juan Soto,2 Tms,153,664,27,93,62,6,20.30%,14.50%,0.21,0.249,0.242,0.401,0.452,0.376,,145,-2.4,32.5,-18.3,3.9
95,2022,José Abreu,CHW,157,679,15,85,75,0,9.10%,16.20%,0.141,0.35,0.304,0.378,0.446,0.361,,137,-1.7,26.6,-11.6,3.8
96,2022,Pete Alonso,NYM,160,685,40,95,131,5,9.80%,18.70%,0.246,0.279,0.271,0.352,0.518,0.366,,141,-2.5,30.6,-17.1,3.8
97,2022,Shohei Ohtani,LAA,157,666,34,90,95,11,10.80%,24.20%,0.246,0.32,0.273,0.356,0.519,0.37,,142,0.3,31.8,-16.4,3.8
98,2023,Bo Bichette,TOR,135,601,20,69,73,5,4.50%,19.10%,0.168,0.355,0.306,0.339,0.475,0.349,,125,-1.7,16,2,3.8
99,2023,Christian Walker,ARI,157,661,33,86,103,11,9.40%,19.20%,0.239,0.272,0.258,0.333,0.497,0.351,,120,0.6,17.1,-1.2,3.8
100,2023,Chas McCormick,HOU,115,457,22,59,70,19,8.80%,25.60%,0.216,0.331,0.273,0.353,0.489,0.362,,133,1.7,19.7,3.2,3.8
101,2023,Josh Lowe,TBR,135,501,20,71,83,32,6.20%,24.80%,0.208,0.357,0.292,0.335,0.5,0.354,,131,7,25.6,-4.4,3.8
102,2023,Trea Turner,PHI,155,691,26,102,76,30,6.50%,21.70%,0.192,0.31,0.266,0.32,0.459,0.333,,108,7.3,14.1,0.5,3.8
103,2022,Jose Trevino,NYY,115,353,11,39,43,2,4.20%,17.60%,0.14,0.274,0.248,0.283,0.388,0.293,,92,-1.2,-4.4,29,3.8
104,2022,Yandy Díaz,TBR,137,558,9,71,57,3,14.00%,10.80%,0.127,0.323,0.296,0.401,0.423,0.366,,146,-5.3,23.6,-5.7,3.7
105,2022,Ha-Seong Kim,SDP,150,582,11,58,59,12,8.80%,17.20%,0.132,0.29,0.251,0.325,0.383,0.313,,106,1.9,6,9.9,3.7
106,2023,Nolan Jones,COL,106,424,20,60,62,20,12.50%,29.70%,0.245,0.401,0.297,0.389,0.542,0.395,,135,3,21.4,1.2,3.7
107,2023,Paul Goldschmidt,STL,154,687,25,89,80,11,12.70%,23.40%,0.179,0.327,0.268,0.363,0.447,0.35,,122,2.6,21.5,-8.2,3.7
108,2023,Andrés Giménez,CLE,153,616,15,76,62,30,5.20%,18.20%,0.147,0.289,0.251,0.314,0.399,0.309,,97,2.6,0.7,14.9,3.6
109,2022,Adolis García,TEX,156,657,27,88,101,25,6.10%,27.90%,0.207,0.309,0.25,0.3,0.456,0.324,,110,6,13,0.6,3.6
110,2022,Cedric Mullins,BAL,156,672,16,89,64,34,7.00%,18.80%,0.145,0.299,0.258,0.318,0.403,0.315,,108,3.3,9.1,4,3.6
111,2022,Ian Happ,CHC,158,641,17,72,72,9,9.00%,23.20%,0.169,0.336,0.271,0.342,0.44,0.339,,120,0.7,15.3,-2.9,3.6
112,2022,Elvis Andrus,2 Tms,149,577,17,66,58,18,6.80%,15.90%,0.155,0.272,0.249,0.303,0.404,0.31,,105,6,9,6,3.5
113,2023,Ian Happ,CHC,158,691,21,86,84,14,14.30%,22.10%,0.183,0.299,0.248,0.36,0.431,0.345,,118,1.8,16.8,-5.2,3.5
114,2023,Manny Machado,SDP,138,601,30,75,91,3,8.30%,18.10%,0.204,0.268,0.258,0.319,0.462,0.334,,114,-3.5,7,7.4,3.5
115,2023,Matt Chapman,TOR,140,581,17,66,54,4,10.70%,28.40%,0.185,0.319,0.24,0.33,0.424,0.328,,110,2.2,9.2,5.7,3.5
116,2022,Jeremy Peña,HOU,136,558,22,72,63,11,3.90%,24.20%,0.173,0.298,0.253,0.289,0.426,0.309,,102,3.7,5,10,3.4
117,2023,Luis Arraez,MIA,147,617,10,71,69,3,5.70%,5.50%,0.115,0.362,0.354,0.393,0.469,0.369,,132,-2.6,21.9,-8.5,3.4
118,2023,Willy Adames,MIL,149,638,24,73,80,5,11.10%,25.90%,0.19,0.259,0.217,0.31,0.407,0.311,,94,-0.3,-5.3,17.7,3.4
119,2023,Brandon Marsh,PHI,133,472,12,58,60,10,12.50%,30.50%,0.181,0.397,0.277,0.372,0.458,0.358,,125,3.1,17.5,0.1,3.4
120,2023,Randy Arozarena,TBR,151,654,23,95,83,22,12.20%,23.90%,0.171,0.31,0.254,0.364,0.425,0.347,,126,1.8,22.1,-10.7,3.3
121,2023,Bryce Harper,PHI,126,546,21,84,72,11,14.70%,21.80%,0.206,0.352,0.293,0.401,0.499,0.384,,142,-2.5,26,-11.5,3.3
122,2023,Jeimer Candelario,2 Tms,140,576,22,77,70,8,9.20%,22.00%,0.22,0.292,0.251,0.336,0.471,0.346,,117,1.2,13.3,0.1,3.3
123,2022,Willson Contreras,CHC,113,487,22,65,55,4,9.20%,21.10%,0.224,0.27,0.243,0.349,0.466,0.357,,132,-2.8,15.2,-0.4,3.3
124,2023,Marcell Ozuna,ATL,144,592,40,84,100,0,9.60%,22.60%,0.285,0.293,0.274,0.346,0.558,0.381,,139,-0.4,28.2,-15.6,3.3
125,2023,Ke'Bryan Hayes,PIT,124,525,15,65,61,10,5.30%,19.80%,0.182,0.315,0.271,0.309,0.453,0.324,,101,-1.5,-0.8,15.5,3.2
126,2023,Matt McLain,CIN,89,403,16,65,50,14,7.70%,28.50%,0.216,0.385,0.29,0.357,0.507,0.37,,128,0.8,14.9,3.9,3.2
127,2023,Gleyber Torres,NYY,158,672,25,90,68,13,10.00%,14.60%,0.18,0.288,0.273,0.347,0.453,0.346,,123,-4.8,13.4,-3.8,3.2
128,2023,Lars Nootbaar,STL,117,503,14,74,46,11,14.30%,19.70%,0.157,0.307,0.261,0.367,0.418,0.344,,118,2.2,13.5,1.5,3.2
129,2023,Seiya Suzuki,CHC,138,583,20,75,74,6,10.10%,22.30%,0.2,0.341,0.285,0.357,0.485,0.358,,126,-3.4,15.7,-3.6,3.2
130,2022,Matt Olson,ATL,162,699,34,86,103,0,10.70%,24.30%,0.237,0.274,0.24,0.325,0.477,0.344,,120,-0.8,15.8,-9.2,3.2
131,2023,Eugenio Suárez,SEA,162,694,22,68,96,2,10.10%,30.80%,0.159,0.314,0.232,0.323,0.391,0.313,,102,-3.2,-1.1,9.2,3.2
132,2022,Luis Arraez,MIN,144,603,8,88,49,4,8.30%,7.10%,0.104,0.331,0.316,0.375,0.42,0.35,,131,-0.2,20.9,-10.2,3.1
133,2023,Rafael Devers,BOS,153,656,33,90,100,5,9.50%,19.20%,0.229,0.292,0.271,0.351,0.5,0.359,,124,-3.8,14.9,-5.8,3.1
134,2022,Brandon Drury,2 Tms,138,568,28,87,87,2,6.70%,22.20%,0.23,0.293,0.263,0.32,0.492,0.35,,124,-3.6,12.3,-2.5,3
135,2022,DJ LeMahieu,NYY,125,541,12,74,46,4,12.40%,13.10%,0.116,0.285,0.261,0.357,0.377,0.329,,118,-4,6.8,5,3
136,2022,Ryan McMahon,COL,153,597,20,67,67,7,10.10%,26.50%,0.168,0.311,0.246,0.327,0.414,0.326,,95,2.1,-1.7,10,3
137,2022,Gavin Lux,LAD,129,471,6,66,42,7,10.00%,20.20%,0.124,0.341,0.276,0.346,0.399,0.328,,114,3.2,10.6,1.8,3
138,2023,Mike Trout,LAA,82,362,18,54,44,2,12.40%,28.70%,0.227,0.335,0.263,0.367,0.49,0.368,,134,1.8,16.6,0.9,3
139,2022,Ke'Bryan Hayes,PIT,136,560,7,55,41,20,8.60%,21.80%,0.101,0.307,0.244,0.314,0.345,0.294,,87,0.9,-7.7,16.8,2.9
140,2023,Steven Kwan,CLE,158,718,5,93,54,21,9.70%,10.40%,0.102,0.294,0.268,0.34,0.37,0.313,,100,1.5,1.7,3,2.9
141,2023,Zack Gelof,OAK,69,300,14,40,32,14,8.70%,27.30%,0.237,0.331,0.267,0.337,0.504,0.357,,133,3.3,15.2,3.5,2.9
142,2022,Gleyber Torres,NYY,140,572,24,73,76,10,6.80%,22.60%,0.194,0.295,0.257,0.31,0.451,0.328,,117,-0.2,10.6,-1.4,2.9
143,2022,Starling Marte,NYM,118,505,16,76,63,18,5.10%,19.20%,0.176,0.34,0.292,0.347,0.468,0.355,,134,-0.2,19.7,-9.4,2.9
144,2022,Jorge Mateo,BAL,150,533,13,63,50,35,5.10%,27.60%,0.158,0.286,0.221,0.267,0.379,0.281,,84,5.8,-3.9,14.2,2.9
145,2023,Max Muncy,LAD,135,579,36,95,105,1,14.70%,26.40%,0.263,0.221,0.212,0.333,0.475,0.344,,118,0.9,14,-5.1,2.9
146,2022,Nathaniel Lowe,TEX,157,645,27,74,76,2,7.40%,22.80%,0.191,0.363,0.302,0.358,0.492,0.368,,141,-3.9,25.5,-19.1,2.8
147,2023,Patrick Bailey,SFG,97,353,7,29,48,1,5.90%,28.30%,0.126,0.314,0.233,0.285,0.359,0.282,,78,-0.7,-10.4,26.8,2.8
148,2022,Thairo Estrada,SFG,140,541,14,71,62,21,6.10%,16.50%,0.139,0.29,0.26,0.322,0.4,0.317,,108,2.4,7.2,1.5,2.8
149,2022,Vladimir Guerrero Jr.,TOR,160,706,32,90,97,8,8.20%,16.40%,0.205,0.289,0.274,0.339,0.48,0.351,,133,-6,19.9,-15.4,2.8
150,2023,Brandon Lowe,TBR,109,436,21,58,68,7,11.50%,27.30%,0.212,0.275,0.231,0.328,0.443,0.334,,117,1.6,10.5,2.9,2.8
151,2022,Andrew Benintendi,2 Tms,126,521,5,54,51,8,10.00%,14.80%,0.095,0.352,0.304,0.373,0.399,0.342,,122,0.6,13.3,-3.3,2.8
152,2023,Pete Alonso,NYM,154,658,46,92,118,4,9.90%,22.90%,0.287,0.205,0.217,0.318,0.504,0.346,,121,-1.8,15.7,-10.1,2.8
153,2023,Jeremy Peña,HOU,150,634,10,81,52,13,6.80%,20.30%,0.118,0.323,0.263,0.324,0.381,0.31,,96,0.1,-2.6,9,2.8
154,2023,Edouard Julien,MIN,109,408,16,60,37,3,15.70%,31.40%,0.195,0.371,0.263,0.381,0.459,0.366,,136,0.3,17.9,-3.8,2.8
155,2023,Jack Suwinski,PIT,144,534,26,63,74,13,14.00%,32.20%,0.23,0.29,0.224,0.339,0.454,0.341,,112,5,13.2,-3.8,2.8
156,2022,Bryan Reynolds,PIT,145,614,27,74,62,7,9.10%,23.00%,0.199,0.306,0.262,0.345,0.461,0.349,,124,-2.1,15,-9.6,2.8
157,2022,Josh Rojas,ARI,125,510,9,66,56,23,10.80%,19.20%,0.122,0.323,0.269,0.349,0.391,0.326,,110,6.2,11.9,-3,2.7
158,2022,Randy Arozarena,TBR,153,645,20,72,89,32,7.10%,24.20%,0.183,0.325,0.263,0.327,0.445,0.336,,124,-4.3,13.5,-7.9,2.7
159,2022,Ramón Urías,BAL,118,445,16,50,51,1,6.70%,22.00%,0.166,0.287,0.248,0.305,0.414,0.313,,106,0,3.2,8.6,2.7
160,2023,Geraldo Perdomo,ARI,144,495,6,71,47,16,12.90%,17.40%,0.113,0.295,0.246,0.353,0.359,0.319,,99,5,4.3,6.1,2.7
161,2023,Lane Thomas,WSN,157,682,28,101,86,20,5.30%,25.80%,0.201,0.325,0.268,0.315,0.468,0.334,,109,5.8,13.1,-9.2,2.7
162,2023,Ryan Jeffers,MIN,96,335,14,46,43,3,9.90%,27.80%,0.213,0.359,0.276,0.369,0.49,0.369,,138,-1.8,13.4,2.3,2.7
163,2022,Jonah Heim,TEX,127,450,16,51,48,2,9.10%,19.30%,0.172,0.249,0.227,0.298,0.399,0.306,,96,-1.8,-3.6,15.1,2.7
164,2023,Jose Siri,TBR,101,364,25,58,56,12,5.50%,35.70%,0.272,0.269,0.222,0.267,0.494,0.319,,106,4.2,7,7.7,2.7
165,2023,Francisco Alvarez,NYM,123,423,25,51,63,2,8.00%,26.00%,0.228,0.222,0.209,0.284,0.437,0.31,,97,-3.8,-5.3,17.9,2.7
166,2022,Amed Rosario,CLE,153,670,11,86,71,18,3.70%,16.60%,0.121,0.326,0.283,0.312,0.403,0.311,,105,1.5,5.2,-1.2,2.7
167,2022,Kyle Schwarber,PHI,155,669,46,100,94,10,12.90%,29.90%,0.286,0.24,0.218,0.323,0.504,0.355,,129,-0.8,21.6,-18.9,2.7
